Wavenumber (cm^-1),Transmittance (%)
599.782800,69.676592
601.711300,70.399537
603.639900,71.124725
605.568400,71.812327
607.497000,72.508764
609.425600,73.201672
611.354100,73.846514
613.282700,74.496368
615.211200,75.182316
617.139800,75.824194
619.068400,76.434565
620.996900,77.045646
622.925500,77.653851
624.854100,78.194931
626.782700,78.705521
628.711200,79.224845
630.639800,79.737846
632.568300,80.250704
634.496900,80.739808
636.425400,81.164243
638.354000,81.576316
640.282600,81.892617
642.211100,82.126830
644.139700,82.364277
646.068200,82.767935
647.996800,83.287161
649.925400,83.665301
651.853900,83.881643
653.782500,84.008355
655.711100,84.128177
657.639600,84.152560
659.568200,83.968547
661.496800,83.808344
663.425300,84.017414
665.353900,84.822172
667.282400,86.294662
669.211000,86.446776
671.139600,85.863760
673.068100,85.822071
674.996700,85.685398
676.925200,85.350390
678.853800,84.660506
680.782300,83.486328
682.710900,81.084434
684.639500,75.726607
686.568100,63.527183
688.496600,41.787183
690.425200,20.097054
692.353800,20.189799
694.282300,41.721998
696.210900,61.860126
698.139400,73.241090
700.068000,79.258619
701.996600,82.532215
703.925100,84.219471
705.853700,85.014358
707.782200,85.377468
709.710800,85.602118
711.639300,85.701549
713.567900,85.670245
715.496500,85.399046
717.425000,84.804623
719.353600,83.805762
721.282200,82.342119
723.210800,80.389865
725.139300,78.640506
727.067900,77.296975
728.996400,74.808475
730.925000,70.029786
732.853500,62.191381
734.782100,50.311736
736.710700,34.305978
738.639200,17.722174
740.567800,6.773716
742.496300,2.865444
744.424900,3.512958
746.353500,8.639528
748.282000,20.019725
750.210600,35.387387
752.139200,49.020699
754.067700,57.459256
755.996300,60.562947
757.924900,58.971381
759.853400,52.945859
761.782000,42.519554
763.710500,28.659103
765.639100,15.117160
767.567700,6.811896
769.496200,4.736832
771.424800,7.905148
773.353300,16.768496
775.281900,30.518607
777.210400,45.160797
779.139000,56.873506
781.067600,64.289937
782.996200,67.823313
784.924700,67.931484
786.853300,64.342866
788.781900,56.040280
790.710400,42.384777
792.639000,25.902322
794.567500,13.379947
796.496100,11.043072
798.424700,21.337641
800.353200,40.415690
802.281800,58.544122
804.210300,70.385727
806.138900,77.140278
808.067400,81.087179
809.996000,83.519839
811.924600,85.103265
813.853100,86.165821
815.781700,86.923209
817.710300,87.533467
819.638900,88.075823
821.567400,88.444213
823.496000,88.427216
825.424500,87.918514
827.353100,87.736422
829.281700,88.435073
831.210200,88.975884
833.138800,89.033497
835.067300,88.987212
836.995900,89.073476
838.924400,89.372855
840.853000,89.785846
842.781600,90.155696
844.710100,90.408125
846.638700,90.528624
848.567300,90.542095
850.495800,90.449977
