 dist       E[Ha]
 0.70       -459.36980289
 0.80       -459.71814718
 0.90       -459.91426854
 1.00       -460.02061365
 1.10       -460.07367059
 1.15       -460.08733927
 1.17       -460.09103505
 1.19       -460.09386633
 1.20       -460.09498488
 1.21       -460.09591877
 1.23       -460.09726983
 1.25       -460.09798962
 1.27       -460.09814157
 1.29       -460.09778319
 1.30       -460.09742909
 1.31       -460.09696656
 1.33       -460.09573895
 1.35       -460.09414323
 1.40       -460.08879017
 1.50       -460.07384195
 1.60       -460.05554274
 1.70       -460.03573156
 1.80       -460.01554404
 1.90       -459.99567097
