# DCl spectrum
# xmin= 1900 cm^-1
# xmax= 2250 cm^-1

Wavenumber, Absorbance
1900, 0.0069
1900.12, 0.0074
1900.25, 0.0073
1900.38, 0.0068
1900.5, 0.006
1900.62, 0.0053
1900.75, 0.005
1900.88, 0.0053
1901, 0.0059
1901.12, 0.0063
1901.25, 0.0062
1901.38, 0.0062
1901.5, 0.0066
1901.62, 0.0068
1901.75, 0.0064
1901.88, 0.0059
1902, 0.0059
1902.12, 0.0064
1902.25, 0.0072
1902.38, 0.0076
1902.5, 0.0073
1902.62, 0.0065
1902.75, 0.0059
1902.88, 0.0063
1903, 0.0071
1903.12, 0.0074
1903.25, 0.0069
1903.38, 0.0063
1903.5, 0.006
1903.62, 0.0057
1903.75, 0.0055
1903.88, 0.0056
1904, 0.0063
1904.12, 0.0072
1904.25, 0.0076
1904.38, 0.0075
1904.5, 0.0069
1904.62, 0.0059
1904.75, 0.0053
1904.88, 0.0055
1905, 0.0063
1905.12, 0.0068
1905.25, 0.0066
1905.38, 0.0066
1905.5, 0.007
1905.62, 0.0073
1905.75, 0.0069
1905.88, 0.0061
1906, 0.0057
1906.12, 0.0057
1906.25, 0.0059
1906.38, 0.0063
1906.5, 0.0066
1906.62, 0.0064
1906.75, 0.0061
1906.88, 0.0064
1907, 0.0071
1907.12, 0.0072
1907.25, 0.0065
1907.38, 0.0063
1907.5, 0.0076
1907.62, 0.0094
1907.75, 0.0101
1907.88, 0.0093
1908, 0.0078
1908.12, 0.0065
1908.25, 0.006
1908.38, 0.0064
1908.5, 0.0071
1908.62, 0.0071
1908.75, 0.0065
1908.88, 0.0062
1909, 0.0068
1909.12, 0.0075
1909.25, 0.0074
1909.38, 0.0067
1909.5, 0.0065
1909.62, 0.0074
1909.75, 0.009
1909.88, 0.0098
1910, 0.0087
1910.12, 0.0067
1910.25, 0.0057
1910.38, 0.0059
1910.5, 0.0064
1910.62, 0.0064
1910.75, 0.0059
1910.88, 0.0058
1911, 0.0063
1911.12, 0.007
1911.25, 0.0073
1911.38, 0.0072
1911.5, 0.0071
1911.62, 0.0071
1911.75, 0.0072
1911.88, 0.0067
1912, 0.0057
1912.12, 0.005
1912.25, 0.005
1912.38, 0.0056
1912.5, 0.006
1912.62, 0.0059
1912.75, 0.0055
1912.88, 0.0054
1913, 0.0059
1913.12, 0.0067
1913.25, 0.007
1913.38, 0.0066
1913.5, 0.0061
1913.62, 0.0062
1913.75, 0.0068
1913.88, 0.0073
1914, 0.0071
1914.12, 0.0065
1914.25, 0.0061
1914.38, 0.0063
1914.5, 0.0066
1914.62, 0.0065
1914.75, 0.006
1914.88, 0.0055
1915, 0.0056
1915.12, 0.0063
1915.25, 0.0066
1915.38, 0.0063
1915.5, 0.0055
1915.62, 0.005
1915.75, 0.005
1915.88, 0.0054
1916, 0.0057
1916.12, 0.0056
1916.25, 0.0052
1916.38, 0.0053
1916.5, 0.0061
1916.62, 0.0069
1916.75, 0.007
1916.88, 0.0062
1917, 0.0058
1917.12, 0.0061
1917.25, 0.0066
1917.38, 0.0063
1917.5, 0.0048
1917.62, 0.0024
1917.75, 0.0004
1917.88, -0.0002
1918, 0.0009
1918.12, 0.0027
1918.25, 0.005
1918.38, 0.0055
1918.5, 0.006
1918.62, 0.0074
1918.75, 0.0086
1918.88, 0.0084
1919, 0.0073
1919.12, 0.0065
1919.25, 0.0064
1919.38, 0.0064
1919.5, 0.0058
1919.62, 0.0049
1919.75, 0.0047
1919.88, 0.0053
1920, 0.0062
1920.12, 0.0064
1920.25, 0.006
1920.38, 0.0057
1920.5, 0.006
1920.62, 0.0069
1920.75, 0.0079
1920.88, 0.0088
1921, 0.0102
1921.12, 0.0122
1921.25, 0.0133
1921.38, 0.0117
1921.5, 0.0084
1921.62, 0.006
1921.75, 0.0058
1921.88, 0.0068
1922, 0.0074
1922.12, 0.0076
1922.25, 0.0073
1922.38, 0.0065
1922.5, 0.0056
1922.62, 0.0057
1922.75, 0.0069
1922.88, 0.0083
1923, 0.0092
1923.12, 0.0096
1923.25, 0.0099
1923.38, 0.01
1923.5, 0.0092
1923.62, 0.0077
1923.75, 0.0066
1923.88, 0.0064
1924, 0.0067
1924.12, 0.0066
1924.25, 0.006
1924.38, 0.0054
1924.5, 0.0056
1924.62, 0.0063
1924.75, 0.0068
1924.88, 0.0068
1925, 0.0064
1925.12, 0.0059
1925.25, 0.006
1925.38, 0.0068
1925.5, 0.0073
1925.62, 0.0068
1925.75, 0.0058
1925.88, 0.0057
1926, 0.0066
1926.12, 0.0075
1926.25, 0.0074
1926.38, 0.0067
1926.5, 0.0061
1926.62, 0.0061
1926.75, 0.0067
1926.88, 0.0069
1927, 0.0062
1927.12, 0.0052
1927.25, 0.0049
1927.38, 0.0056
1927.5, 0.0063
1927.62, 0.0062
1927.75, 0.0056
1927.88, 0.0056
1928, 0.0062
1928.12, 0.0068
1928.25, 0.0069
1928.38, 0.0067
1928.5, 0.0066
1928.62, 0.0064
1928.75, 0.0062
1928.88, 0.0059
1929, 0.0055
1929.12, 0.0053
1929.25, 0.0058
1929.38, 0.007
1929.5, 0.0079
1929.62, 0.0077
1929.75, 0.0068
1929.88, 0.006
1930, 0.0058
1930.12, 0.0061
1930.25, 0.0064
1930.38, 0.0067
1930.5, 0.0067
1930.62, 0.0065
1930.75, 0.0064
1930.88, 0.0067
1931, 0.0069
1931.12, 0.0066
1931.25, 0.0061
1931.38, 0.0062
1931.5, 0.0066
1931.62, 0.0066
1931.75, 0.0068
1931.88, 0.008
1932, 0.0101
1932.12, 0.0117
1932.25, 0.0115
1932.38, 0.0099
1932.5, 0.0083
1932.62, 0.0073
1932.75, 0.0068
1932.88, 0.0065
1933, 0.0062
1933.12, 0.006
1933.25, 0.0061
1933.38, 0.0065
1933.5, 0.0069
1933.62, 0.0066
1933.75, 0.0059
1933.88, 0.0052
1934, 0.0051
1934.12, 0.0059
1934.25, 0.0086
1934.38, 0.0132
1934.5, 0.0177
1934.62, 0.0187
1934.75, 0.0156
1934.88, 0.011
1935, 0.008
1935.12, 0.0068
1935.25, 0.0064
1935.38, 0.0061
1935.5, 0.006
1935.62, 0.006
1935.75, 0.0057
1935.88, 0.0054
1936, 0.0057
1936.12, 0.0063
1936.25, 0.0065
1936.38, 0.0061
1936.5, 0.0058
1936.62, 0.0058
1936.75, 0.006
1936.88, 0.0063
1937, 0.0065
1937.12, 0.0062
1937.25, 0.0054
1937.38, 0.0049
1937.5, 0.0052
1937.62, 0.0058
1937.75, 0.0061
1937.88, 0.006
1938, 0.0062
1938.12, 0.0067
1938.25, 0.0072
1938.38, 0.0074
1938.5, 0.0074
1938.62, 0.0073
1938.75, 0.0072
1938.88, 0.0072
1939, 0.0073
1939.12, 0.0071
1939.25, 0.0064
1939.38, 0.0056
1939.5, 0.0055
1939.62, 0.006
1939.75, 0.0066
1939.88, 0.0069
1940, 0.0072
1940.12, 0.0073
1940.25, 0.0072
1940.38, 0.0069
1940.5, 0.0066
1940.62, 0.0063
1940.75, 0.0059
1940.88, 0.0058
1941, 0.0061
1941.12, 0.006
1941.25, 0.0056
1941.38, 0.0054
1941.5, 0.0058
1941.62, 0.0062
1941.75, 0.0062
1941.88, 0.0058
1942, 0.0052
1942.12, 0.0046
1942.25, 0.0047
1942.38, 0.0069
1942.5, 0.0111
1942.62, 0.0137
1942.75, 0.0124
1942.88, 0.0096
1943, 0.0077
1943.12, 0.0069
1943.25, 0.0066
1943.38, 0.0065
1943.5, 0.0065
1943.62, 0.0066
1943.75, 0.0067
1943.88, 0.0069
1944, 0.0071
1944.12, 0.0071
1944.25, 0.0068
1944.38, 0.0065
1944.5, 0.0063
1944.62, 0.0062
1944.75, 0.0062
1944.88, 0.0072
1945, 0.01
1945.12, 0.0136
1945.25, 0.0155
1945.38, 0.0141
1945.5, 0.0106
1945.62, 0.0076
1945.75, 0.0062
1945.88, 0.0057
1946, 0.0057
1946.12, 0.0061
1946.25, 0.007
1946.38, 0.0076
1946.5, 0.0076
1946.62, 0.0069
1946.75, 0.006
1946.88, 0.0058
1947, 0.0064
1947.12, 0.0073
1947.25, 0.0074
1947.38, 0.0081
1947.5, 0.0123
1947.62, 0.0207
1947.75, 0.0281
1947.88, 0.0283
1948, 0.021
1948.12, 0.0125
1948.25, 0.0078
1948.38, 0.0068
1948.5, 0.0064
1948.62, 0.0054
1948.75, 0.0047
1948.88, 0.0051
1949, 0.0061
1949.12, 0.0069
1949.25, 0.0071
1949.38, 0.0067
1949.5, 0.0061
1949.62, 0.006
1949.75, 0.0064
1949.88, 0.0066
1950, 0.0061
1950.12, 0.0056
1950.25, 0.0054
1950.38, 0.0059
1950.5, 0.0065
1950.62, 0.0068
1950.75, 0.0067
1950.88, 0.0064
1951, 0.0061
1951.12, 0.0059
1951.25, 0.0059
1951.38, 0.0058
1951.5, 0.0058
1951.62, 0.0061
1951.75, 0.0066
1951.88, 0.0069
1952, 0.0068
1952.12, 0.0067
1952.25, 0.007
1952.38, 0.0074
1952.5, 0.0074
1952.62, 0.0072
1952.75, 0.0068
1952.88, 0.0066
1953, 0.0065
1953.12, 0.0063
1953.25, 0.006
1953.38, 0.0056
1953.5, 0.0053
1953.62, 0.0056
1953.75, 0.0062
1953.88, 0.0067
1954, 0.0064
1954.12, 0.0057
1954.25, 0.0055
1954.38, 0.0061
1954.5, 0.0068
1954.62, 0.007
1954.75, 0.0068
1954.88, 0.0067
1955, 0.0068
1955.12, 0.0069
1955.25, 0.007
1955.38, 0.0068
1955.5, 0.0065
1955.62, 0.0063
1955.75, 0.0064
1955.88, 0.0067
1956, 0.0067
1956.12, 0.0064
1956.25, 0.0062
1956.38, 0.0064
1956.5, 0.0066
1956.62, 0.0064
1956.75, 0.0058
1956.88, 0.0053
1957, 0.0052
1957.12, 0.0055
1957.25, 0.006
1957.38, 0.0064
1957.5, 0.0069
1957.62, 0.0073
1957.75, 0.0079
1957.88, 0.0095
1958, 0.0128
1958.12, 0.0162
1958.25, 0.0175
1958.38, 0.0152
1958.5, 0.0112
1958.62, 0.008
1958.75, 0.0067
1958.88, 0.0065
1959, 0.0066
1959.12, 0.0069
1959.25, 0.0073
1959.38, 0.0075
1959.5, 0.0072
1959.62, 0.0067
1959.75, 0.0063
1959.88, 0.0063
1960, 0.0066
1960.12, 0.0069
1960.25, 0.0072
1960.38, 0.0091
1960.5, 0.0156
1960.62, 0.0275
1960.75, 0.0394
1960.88, 0.0424
1961, 0.034
1961.12, 0.021
1961.25, 0.0117
1961.38, 0.0081
1961.5, 0.0068
1961.62, 0.0058
1961.75, 0.0057
1961.88, 0.0068
1962, 0.0077
1962.12, 0.0071
1962.25, 0.0061
1962.38, 0.0059
1962.5, 0.0063
1962.62, 0.0065
1962.75, 0.0065
1962.88, 0.0067
1963, 0.0068
1963.12, 0.0066
1963.25, 0.0066
1963.38, 0.0072
1963.5, 0.0074
1963.62, 0.0069
1963.75, 0.0066
1963.88, 0.0072
1964, 0.0079
1964.12, 0.0078
1964.25, 0.007
1964.38, 0.0063
1964.5, 0.0061
1964.62, 0.0061
1964.75, 0.0061
1964.88, 0.0064
1965, 0.0066
1965.12, 0.0067
1965.25, 0.0067
1965.38, 0.007
1965.5, 0.0073
1965.62, 0.007
1965.75, 0.0067
1965.88, 0.007
1966, 0.008
1966.12, 0.0088
1966.25, 0.009
1966.38, 0.0087
1966.5, 0.0082
1966.62, 0.0077
1966.75, 0.0074
1966.88, 0.0069
1967, 0.0061
1967.12, 0.0055
1967.25, 0.006
1967.38, 0.0078
1967.5, 0.0089
1967.62, 0.0084
1967.75, 0.0072
1967.88, 0.0067
1968, 0.007
1968.12, 0.0071
1968.25, 0.0066
1968.38, 0.0059
1968.5, 0.0059
1968.62, 0.0066
1968.75, 0.0076
1968.88, 0.0081
1969, 0.0077
1969.12, 0.0073
1969.25, 0.0077
1969.38, 0.0081
1969.5, 0.0075
1969.62, 0.0061
1969.75, 0.0055
1969.88, 0.0061
1970, 0.0069
1970.12, 0.007
1970.25, 0.0068
1970.38, 0.0069
1970.5, 0.0074
1970.62, 0.0093
1970.75, 0.014
1970.88, 0.0209
1971, 0.0254
1971.12, 0.0238
1971.25, 0.0175
1971.38, 0.0115
1971.5, 0.0083
1971.62, 0.007
1971.75, 0.0062
1971.88, 0.0062
1972, 0.0069
1972.12, 0.0074
1972.25, 0.0073
1972.38, 0.0074
1972.5, 0.008
1972.62, 0.0083
1972.75, 0.0079
1972.88, 0.0078
1973, 0.0081
1973.12, 0.0085
1973.25, 0.012
1973.38, 0.0233
1973.5, 0.0421
1973.62, 0.0579
1973.75, 0.058
1973.88, 0.0426
1974, 0.0242
1974.12, 0.0131
1974.25, 0.0093
1974.38, 0.008
1974.5, 0.0068
1974.62, 0.0066
1974.75, 0.0073
1974.88, 0.0077
1975, 0.0071
1975.12, 0.0066
1975.25, 0.0069
1975.38, 0.0075
1975.5, 0.0077
1975.62, 0.0074
1975.75, 0.0071
1975.88, 0.0069
1976, 0.0069
1976.12, 0.007
1976.25, 0.0071
1976.38, 0.0069
1976.5, 0.0064
1976.62, 0.0062
1976.75, 0.0063
1976.88, 0.0066
1977, 0.0068
1977.12, 0.0064
1977.25, 0.006
1977.38, 0.0059
1977.5, 0.0064
1977.62, 0.0067
1977.75, 0.0064
1977.88, 0.0059
1978, 0.006
1978.12, 0.0067
1978.25, 0.0074
1978.38, 0.0075
1978.5, 0.0072
1978.62, 0.0071
1978.75, 0.0074
1978.88, 0.0076
1979, 0.0077
1979.12, 0.0075
1979.25, 0.0073
1979.38, 0.0068
1979.5, 0.0065
1979.62, 0.0064
1979.75, 0.0065
1979.88, 0.0068
1980, 0.0073
1980.12, 0.0077
1980.25, 0.0078
1980.38, 0.0076
1980.5, 0.0074
1980.62, 0.0073
1980.75, 0.0073
1980.88, 0.0073
1981, 0.0073
1981.12, 0.0072
1981.25, 0.007
1981.38, 0.007
1981.5, 0.0073
1981.62, 0.0078
1981.75, 0.0079
1981.88, 0.0075
1982, 0.007
1982.12, 0.0067
1982.25, 0.0068
1982.38, 0.0068
1982.5, 0.0066
1982.62, 0.0063
1982.75, 0.0062
1982.88, 0.0065
1983, 0.0072
1983.12, 0.0083
1983.25, 0.0111
1983.38, 0.0174
1983.5, 0.0263
1983.62, 0.0323
1983.75, 0.0302
1983.88, 0.0214
1984, 0.0125
1984.12, 0.0082
1984.25, 0.0073
1984.38, 0.007
1984.5, 0.0065
1984.62, 0.0066
1984.75, 0.0072
1984.88, 0.0074
1985, 0.0075
1985.12, 0.0077
1985.25, 0.0075
1985.38, 0.007
1985.5, 0.0073
1985.62, 0.0085
1985.75, 0.0097
1985.88, 0.0131
1986, 0.0253
1986.12, 0.0492
1986.25, 0.0745
1986.38, 0.0817
1986.5, 0.0642
1986.62, 0.0374
1986.75, 0.0185
1986.88, 0.0114
1987, 0.0095
1987.12, 0.0075
1987.25, 0.0057
1987.38, 0.0055
1987.5, 0.0062
1987.62, 0.0066
1987.75, 0.0067
1987.88, 0.007
1988, 0.0069
1988.12, 0.0068
1988.25, 0.0075
1988.38, 0.0087
1988.5, 0.0088
1988.62, 0.0077
1988.75, 0.007
1988.88, 0.0075
1989, 0.0078
1989.12, 0.0072
1989.25, 0.0064
1989.38, 0.0063
1989.5, 0.0064
1989.62, 0.0062
1989.75, 0.006
1989.88, 0.0062
1990, 0.0062
1990.12, 0.0061
1990.25, 0.0066
1990.38, 0.0078
1990.5, 0.0085
1990.62, 0.0081
1990.75, 0.0077
1990.88, 0.0078
1991, 0.0077
1991.12, 0.0071
1991.25, 0.0065
1991.38, 0.006
1991.5, 0.0056
1991.62, 0.0053
1991.75, 0.0059
1991.88, 0.0072
1992, 0.008
1992.12, 0.0081
1992.25, 0.0078
1992.38, 0.0076
1992.5, 0.0072
1992.62, 0.0063
1992.75, 0.0058
1992.88, 0.0062
1993, 0.0073
1993.12, 0.0082
1993.25, 0.0085
1993.38, 0.0078
1993.5, 0.0066
1993.62, 0.0059
1993.75, 0.0061
1993.88, 0.0063
1994, 0.0061
1994.12, 0.0058
1994.25, 0.0059
1994.38, 0.0064
1994.5, 0.0069
1994.62, 0.007
1994.75, 0.007
1994.88, 0.0073
1995, 0.0077
1995.12, 0.0079
1995.25, 0.0078
1995.38, 0.0077
1995.5, 0.0081
1995.62, 0.0106
1995.75, 0.0175
1995.88, 0.0287
1996, 0.0389
1996.12, 0.0406
1996.25, 0.0321
1996.38, 0.0203
1996.5, 0.0123
1996.62, 0.0092
1996.75, 0.0078
1996.88, 0.0066
1997, 0.0066
1997.12, 0.0076
1997.25, 0.008
1997.38, 0.0073
1997.5, 0.0073
1997.62, 0.0083
1997.75, 0.0087
1997.88, 0.0083
1998, 0.0085
1998.12, 0.0097
1998.25, 0.0121
1998.38, 0.0206
1998.5, 0.0428
1998.62, 0.0773
1998.75, 0.1049
1998.88, 0.1027
1999, 0.073
1999.12, 0.0403
1999.25, 0.0207
1999.38, 0.0128
1999.5, 0.0092
1999.62, 0.0075
1999.75, 0.0081
1999.88, 0.0097
2000, 0.0093
2000.12, 0.0074
2000.25, 0.0063
2000.38, 0.0065
2000.5, 0.0067
2000.62, 0.0065
2000.75, 0.0067
2000.88, 0.0073
2001, 0.0076
2001.12, 0.0077
2001.25, 0.008
2001.38, 0.0079
2001.5, 0.007
2001.62, 0.006
2001.75, 0.006
2001.88, 0.0067
2002, 0.0066
2002.12, 0.0058
2002.25, 0.0055
2002.38, 0.006
2002.5, 0.0066
2002.62, 0.007
2002.75, 0.0071
2002.88, 0.0069
2003, 0.0063
2003.12, 0.0059
2003.25, 0.0065
2003.38, 0.0073
2003.5, 0.0074
2003.62, 0.0071
2003.75, 0.0074
2003.88, 0.0083
2004, 0.0088
2004.12, 0.0083
2004.25, 0.0074
2004.38, 0.0069
2004.5, 0.007
2004.62, 0.0073
2004.75, 0.0077
2004.88, 0.0075
2005, 0.0068
2005.12, 0.0062
2005.25, 0.0066
2005.38, 0.007
2005.5, 0.0069
2005.62, 0.0063
2005.75, 0.0063
2005.88, 0.0069
2006, 0.0071
2006.12, 0.007
2006.25, 0.0071
2006.38, 0.0073
2006.5, 0.0073
2006.62, 0.0073
2006.75, 0.0073
2006.88, 0.0072
2007, 0.0067
2007.12, 0.0063
2007.25, 0.0067
2007.38, 0.0076
2007.5, 0.0078
2007.62, 0.0075
2007.75, 0.0084
2007.88, 0.0131
2008, 0.0237
2008.12, 0.0383
2008.25, 0.0494
2008.38, 0.0485
2008.5, 0.0358
2008.62, 0.021
2008.75, 0.0125
2008.88, 0.01
2009, 0.0086
2009.12, 0.0069
2009.25, 0.007
2009.38, 0.0085
2009.5, 0.0089
2009.62, 0.0076
2009.75, 0.0073
2009.88, 0.0086
2010, 0.0094
2010.12, 0.0093
2010.25, 0.0102
2010.38, 0.0124
2010.5, 0.0154
2010.62, 0.0247
2010.75, 0.05
2010.88, 0.0914
2011, 0.1276
2011.12, 0.1288
2011.25, 0.0945
2011.38, 0.0534
2011.5, 0.0266
2011.62, 0.015
2011.75, 0.0106
2011.88, 0.0082
2012, 0.0073
2012.12, 0.0076
2012.25, 0.0078
2012.38, 0.0074
2012.5, 0.0071
2012.62, 0.0072
2012.75, 0.0072
2012.88, 0.0071
2013, 0.0069
2013.12, 0.0066
2013.25, 0.0064
2013.38, 0.0067
2013.5, 0.0075
2013.62, 0.008
2013.75, 0.0078
2013.88, 0.0074
2014, 0.0073
2014.12, 0.0075
2014.25, 0.0074
2014.38, 0.0071
2014.5, 0.0069
2014.62, 0.007
2014.75, 0.0075
2014.88, 0.0079
2015, 0.0079
2015.12, 0.0074
2015.25, 0.0068
2015.38, 0.0066
2015.5, 0.0066
2015.62, 0.0066
2015.75, 0.0068
2015.88, 0.0071
2016, 0.0074
2016.12, 0.0074
2016.25, 0.0069
2016.38, 0.0059
2016.5, 0.0049
2016.62, 0.0047
2016.75, 0.0061
2016.88, 0.0081
2017, 0.0093
2017.12, 0.0091
2017.25, 0.0081
2017.38, 0.0073
2017.5, 0.0071
2017.62, 0.0072
2017.75, 0.007
2017.88, 0.0064
2018, 0.006
2018.12, 0.0062
2018.25, 0.0066
2018.38, 0.0067
2018.5, 0.0067
2018.62, 0.0071
2018.75, 0.0075
2018.88, 0.0074
2019, 0.0071
2019.12, 0.0068
2019.25, 0.0066
2019.38, 0.0067
2019.5, 0.0072
2019.62, 0.0081
2019.75, 0.0095
2019.88, 0.0134
2020, 0.0235
2020.12, 0.0401
2020.25, 0.0556
2020.38, 0.0586
2020.5, 0.0463
2020.62, 0.0286
2020.75, 0.0164
2020.88, 0.0121
2021, 0.0108
2021.12, 0.0093
2021.25, 0.0084
2021.38, 0.0089
2021.5, 0.009
2021.62, 0.008
2021.75, 0.0073
2021.88, 0.0079
2022, 0.0085
2022.12, 0.0082
2022.25, 0.0088
2022.38, 0.0114
2022.5, 0.0145
2022.62, 0.0206
2022.75, 0.0394
2022.88, 0.0789
2023, 0.1281
2023.12, 0.1532
2023.25, 0.1312
2023.38, 0.083
2023.5, 0.0426
2023.62, 0.022
2023.75, 0.0149
2023.88, 0.012
2024, 0.0099
2024.12, 0.0092
2024.25, 0.0092
2024.38, 0.0086
2024.5, 0.0079
2024.62, 0.008
2024.75, 0.0084
2024.88, 0.0083
2025, 0.008
2025.12, 0.0083
2025.25, 0.0087
2025.38, 0.0086
2025.5, 0.008
2025.62, 0.008
2025.75, 0.0083
2025.88, 0.0081
2026, 0.0073
2026.12, 0.007
2026.25, 0.0075
2026.38, 0.0081
2026.5, 0.0081
2026.62, 0.0077
2026.75, 0.0074
2026.88, 0.0073
2027, 0.0072
2027.12, 0.0071
2027.25, 0.007
2027.38, 0.0067
2027.5, 0.0066
2027.62, 0.0067
2027.75, 0.0072
2027.88, 0.0073
2028, 0.007
2028.12, 0.0067
2028.25, 0.0065
2028.38, 0.0064
2028.5, 0.0062
2028.62, 0.0062
2028.75, 0.0066
2028.88, 0.0069
2029, 0.0069
2029.12, 0.0067
2029.25, 0.007
2029.38, 0.0073
2029.5, 0.0073
2029.62, 0.0073
2029.75, 0.0076
2029.88, 0.008
2030, 0.0079
2030.12, 0.0074
2030.25, 0.0071
2030.38, 0.007
2030.5, 0.0067
2030.62, 0.0063
2030.75, 0.0066
2030.88, 0.0075
2031, 0.0084
2031.12, 0.0088
2031.25, 0.0093
2031.38, 0.0101
2031.5, 0.0106
2031.62, 0.0121
2031.75, 0.0183
2031.88, 0.0326
2032, 0.0515
2032.12, 0.0638
2032.25, 0.0599
2032.38, 0.0427
2032.5, 0.0243
2032.62, 0.0138
2032.75, 0.0107
2032.88, 0.0099
2033, 0.0089
2033.12, 0.0085
2033.25, 0.0092
2033.38, 0.0092
2033.5, 0.0082
2033.62, 0.0079
2033.75, 0.0088
2033.88, 0.0092
2034, 0.0086
2034.12, 0.0091
2034.25, 0.012
2034.38, 0.0163
2034.5, 0.0256
2034.62, 0.0507
2034.75, 0.098
2034.88, 0.1516
2035, 0.1725
2035.12, 0.1407
2035.25, 0.0858
2035.38, 0.0434
2035.5, 0.0228
2035.62, 0.0153
2035.75, 0.0118
2035.88, 0.01
2036, 0.01
2036.12, 0.0103
2036.25, 0.0097
2036.38, 0.0092
2036.5, 0.0095
2036.62, 0.0097
2036.75, 0.0089
2036.88, 0.0083
2037, 0.0082
2037.12, 0.0081
2037.25, 0.0074
2037.38, 0.0071
2037.5, 0.0076
2037.62, 0.008
2037.75, 0.0074
2037.88, 0.0068
2038, 0.0067
2038.12, 0.0069
2038.25, 0.0069
2038.38, 0.007
2038.5, 0.0072
2038.62, 0.0071
2038.75, 0.0068
2038.88, 0.007
2039, 0.008
2039.12, 0.0087
2039.25, 0.0084
2039.38, 0.0077
2039.5, 0.0074
2039.62, 0.0073
2039.75, 0.0071
2039.88, 0.007
2040, 0.0068
2040.12, 0.0063
2040.25, 0.006
2040.38, 0.0062
2040.5, 0.0068
2040.62, 0.0068
2040.75, 0.0063
2040.88, 0.0064
2041, 0.0075
2041.12, 0.0083
2041.25, 0.0083
2041.38, 0.0082
2041.5, 0.0086
2041.62, 0.0088
2041.75, 0.0084
2041.88, 0.0078
2042, 0.0075
