# Frequency, Signal
-5.000000000000000000e+02,1.001126490508960160e-04
-4.997999599919983780e+02,1.002169244342626908e-04
-4.995999199839968128e+02,1.003213357003851237e-04
-4.993998799759951908e+02,1.004258830672542774e-04
-4.991998399679936256e+02,1.005305667532859322e-04
-4.989997999599920036e+02,1.006353869773218921e-04
-4.987997599519903815e+02,1.007403439586308113e-04
-4.985997199439888163e+02,1.008454379169092382e-04
-4.983996799359871943e+02,1.009506690722826585e-04
-4.981996399279855723e+02,1.010560376453064848e-04
-4.979995999199840071e+02,1.011615438569669103e-04
-4.977995599119823851e+02,1.012671879286821964e-04
-4.975995199039808199e+02,1.013729700823033772e-04
-4.973994798959791979e+02,1.014788905401155472e-04
-4.971994398879775758e+02,1.015849495248385796e-04
-4.969993998799760107e+02,1.016911472596284001e-04
-4.967993598719743886e+02,1.017974839680779221e-04
-4.965993198639727666e+02,1.019039598742179682e-04
-4.963992798559712014e+02,1.020105752025184088e-04
-4.961992398479695794e+02,1.021173301778892188e-04
-4.959991998399680142e+02,1.022242250256813321e-04
-4.957991598319663922e+02,1.023312599716878876e-04
-4.955991198239647701e+02,1.024384352421451244e-04
-4.953990798159632050e+02,1.025457510637333976e-04
-4.951990398079615829e+02,1.026532076635783985e-04
-4.949989997999600178e+02,1.027608052692519271e-04
-4.947989597919583957e+02,1.028685441087732875e-04
-4.945989197839567737e+02,1.029764244106099526e-04
-4.943988797759552085e+02,1.030844464036788512e-04
-4.941988397679535865e+02,1.031926103173474795e-04
-4.939987997599519645e+02,1.033009163814347276e-04
-4.937987597519503993e+02,1.034093648262121264e-04
-4.935987197439487772e+02,1.035179558824048644e-04
-4.933986797359472121e+02,1.036266897811927764e-04
-4.931986397279455900e+02,1.037355667542115502e-04
-4.929985997199439680e+02,1.038445870335537292e-04
-4.927985597119424028e+02,1.039537508517696611e-04
-4.925985197039407808e+02,1.040630584418688806e-04
-4.923984796959392156e+02,1.041725100373209220e-04
-4.921984396879375936e+02,1.042821058720564716e-04
-4.919983996799359716e+02,1.043918461804685329e-04
-4.917983596719344064e+02,1.045017311974133755e-04
-4.915983196639327844e+02,1.046117611582118363e-04
-4.913982796559311623e+02,1.047219362986501862e-04
-4.911982396479295971e+02,1.048322568549813779e-04
-4.909981996399279751e+02,1.049427230639261155e-04
-4.907981596319264099e+02,1.050533351626739261e-04
-4.905981196239247879e+02,1.051640933888843381e-04
-4.903980796159231659e+02,1.052749979806878711e-04
-4.901980396079216007e+02,1.053860491766872961e-04
-4.899979995999199787e+02,1.054972472159586652e-04
-4.897979595919183566e+02,1.056085923380524233e-04
-4.895979195839167915e+02,1.057200847829945737e-04
-4.893978795759151694e+02,1.058317247912878429e-04
-4.891978395679136042e+02,1.059435126039126438e-04
-4.889977995599119822e+02,1.060554484623284709e-04
-4.887977595519103602e+02,1.061675326084747951e-04
-4.885977195439087950e+02,1.062797652847722560e-04
-4.883976795359071730e+02,1.063921467341239770e-04
-4.881976395279056078e+02,1.065046771999164323e-04
-4.879975995199039858e+02,1.066173569260209106e-04
-4.877975595119023637e+02,1.067301861567943283e-04
-4.875975195039007986e+02,1.068431651370806661e-04
-4.873974794958991765e+02,1.069562941122119990e-04
-4.871974394878975545e+02,1.070695733280096481e-04
-4.869973994798959893e+02,1.071830030307853736e-04
-4.867973594718943673e+02,1.072965834673425940e-04
-4.865973194638928021e+02,1.074103148849774709e-04
-4.863972794558911801e+02,1.075241975314801144e-04
-4.861972394478895581e+02,1.076382316551357631e-04
-4.859971994398879929e+02,1.077524175047260303e-04
-4.857971594318863708e+02,1.078667553295299339e-04
-4.855971194238848057e+02,1.079812453793251980e-04
-4.853970794158831836e+02,1.080958879043895265e-04
-4.851970394078815616e+02,1.082106831555015923e-04
-4.849969993998799964e+02,1.083256313839422709e-04
-4.847969593918783744e+02,1.084407328414961174e-04
-4.845969193838767524e+02,1.085559877804521934e-04
-4.843968793758751872e+02,1.086713964536054490e-04
-4.841968393678735652e+02,1.087869591142580513e-04
-4.839967993598720000e+02,1.089026760162202924e-04
-4.837967593518703779e+02,1.090185474138122019e-04
-4.835967193438687559e+02,1.091345735618643874e-04
-4.833966793358671907e+02,1.092507547157194303e-04
-4.831966393278655687e+02,1.093670911312332952e-04
-4.829965993198639467e+02,1.094835830647761704e-04
-4.827965593118623815e+02,1.096002307732339720e-04
-4.825965193038607595e+02,1.097170345140096042e-04
-4.823964792958591943e+02,1.098339945450240031e-04
-4.821964392878575723e+02,1.099511111247176005e-04
-4.819963992798559502e+02,1.100683845120513940e-04
-4.817963592718543850e+02,1.101858149665082756e-04
-4.815963192638527630e+02,1.103034027480943868e-04
-4.813962792558511410e+02,1.104211481173401351e-04
-4.811962392478495758e+02,1.105390513353016711e-04
-4.809961992398479538e+02,1.106571126635621220e-04
-4.807961592318463886e+02,1.107753323642327568e-04
-4.805961192238447666e+02,1.108937106999544097e-04
-4.803960792158431445e+02,1.110122479338985775e-04
-4.801960392078415794e+02,1.111309443297688428e-04
-4.799959991998399573e+02,1.112498001518021074e-04
-4.797959591918383921e+02,1.113688156647699200e-04
-4.795959191838367701e+02,1.114879911339797643e-04
-4.793958791758351481e+02,1.116073268252762104e-04
-4.791958391678335829e+02,1.117268230050423382e-04
-4.789957991598319609e+02,1.118464799402012010e-04
-4.787957591518303389e+02,1.119662978982167604e-04
-4.785957191438287737e+02,1.120862771470954857e-04
-4.783956791358271516e+02,1.122064179553876280e-04
-4.781956391278255865e+02,1.123267205921883309e-04
-4.779955991198239644e+02,1.124471853271393526e-04
-4.777955591118223424e+02,1.125678124304298915e-04
-4.775955191038207772e+02,1.126886021727983086e-04
-4.773954790958191552e+02,1.128095548255333866e-04
-4.771954390878175900e+02,1.129306706604753881e-04
-4.769953990798159680e+02,1.130519499500178709e-04
-4.767953590718143460e+02,1.131733929671085423e-04
-4.765953190638127808e+02,1.132949999852509256e-04
-4.763952790558111587e+02,1.134167712785057159e-04
-4.761952390478095367e+02,1.135387071214918772e-04
-4.759951990398079715e+02,1.136608077893882423e-04
-4.757951590318063495e+02,1.137830735579348267e-04
-4.755951190238047843e+02,1.139055047034341032e-04
-4.753950790158031623e+02,1.140281015027524785e-04
-4.751950390078015403e+02,1.141508642333216220e-04
-4.749949989997999751e+02,1.142737931731398069e-04
-4.747949589917983531e+02,1.143968886007734148e-04
-4.745949189837967879e+02,1.145201507953581013e-04
-4.743948789757951658e+02,1.146435800366005307e-04
-4.741948389677935438e+02,1.147671766047793785e-04
-4.739947989597919786e+02,1.148909407807469448e-04
-4.737947589517903566e+02,1.150148728459306582e-04
-4.735947189437887346e+02,1.151389730823342141e-04
-4.733946789357871694e+02,1.152632417725391473e-04
-4.731946389277855474e+02,1.153876791997062953e-04
-4.729945989197839822e+02,1.155122856475770314e-04
-4.727945589117823602e+02,1.156370614004749187e-04
-4.725945189037807381e+02,1.157620067433069429e-04
-4.723944788957791729e+02,1.158871219615649489e-04
-4.721944388877775509e+02,1.160124073413273352e-04
-4.719943988797759289e+02,1.161378631692601106e-04
-4.717943588717743637e+02,1.162634897326185750e-04
-4.715943188637727417e+02,1.163892873192487964e-04
-4.713942788557711765e+02,1.165152562175888849e-04
-4.711942388477695545e+02,1.166413967166706736e-04
-4.709941988397679324e+02,1.167677091061208698e-04
-4.707941588317663673e+02,1.168941936761628040e-04
-4.705941188237647452e+02,1.170208507176177711e-04
-4.703940788157631232e+02,1.171476805219065758e-04
-4.701940388077615580e+02,1.172746833810508739e-04
-4.699939987997599360e+02,1.174018595876747989e-04
-4.697939587917583708e+02,1.175292094350063307e-04
-4.695939187837567488e+02,1.176567332168789083e-04
-4.693938787757551268e+02,1.177844312277327309e-04
-4.691938387677535616e+02,1.179123037626164520e-04
-4.689937987597519395e+02,1.180403511171886836e-04
-4.687937587517503744e+02,1.181685735877192298e-04
-4.685937187437487523e+02,1.182969714710910378e-04
-4.683936787357471303e+02,1.184255450648012014e-04
-4.681936387277455651e+02,1.185542946669629257e-04
-4.679935987197439431e+02,1.186832205763068283e-04
-4.677935587117423211e+02,1.188123230921824572e-04
-4.675935187037407559e+02,1.189416025145599576e-04
-4.673934786957391339e+02,1.190710591440314546e-04
-4.671934386877375687e+02,1.192006932818126519e-04
-4.669933986797359466e+02,1.193305052297444994e-04
-4.667933586717343246e+02,1.194604952902945342e-04
-4.665933186637327594e+02,1.195906637665585345e-04
-4.663932786557311374e+02,1.197210109622621864e-04
-4.661932386477295722e+02,1.198515371817623307e-04
-4.659931986397279502e+02,1.199822427300490231e-04
-4.657931586317263282e+02,1.201131279127466044e-04
-4.655931186237247630e+02,1.202441930361155035e-04
-4.653930786157231410e+02,1.203754384070539988e-04
-4.651930386077215189e+02,1.205068643330994653e-04
-4.649929985997199537e+02,1.206384711224300281e-04
-4.647929585917183317e+02,1.207702590838665541e-04
-4.645929185837167665e+02,1.209022285268736285e-04
-4.643928785757151445e+02,1.210343797615617362e-04
-4.641928385677135225e+02,1.211667130986884139e-04
-4.639927985597119573e+02,1.212992288496601070e-04
-4.637927585517103353e+02,1.214319273265338634e-04
-4.635927185437087701e+02,1.215648088420187160e-04
-4.633926785357071481e+02,1.216978737094775125e-04
-4.631926385277055260e+02,1.218311222429283648e-04
-4.629925985197039608e+02,1.219645547570464932e-04
-4.627925585117023388e+02,1.220981715671657568e-04
-4.625925185037007168e+02,1.222319729892802805e-04
-4.623924784956991516e+02,1.223659593400461081e-04
-4.621924384876975296e+02,1.225001309367829778e-04
-4.619923984796959076e+02,1.226344880974758131e-04
-4.617923584716943424e+02,1.227690311407764840e-04
-4.615923184636927203e+02,1.229037603860055428e-04
-4.613922784556911552e+02,1.230386761531536866e-04
-4.611922384476895331e+02,1.231737787628837640e-04
-4.609921984396879679e+02,1.233090685365320486e-04
-4.607921584316863459e+02,1.234445457961103802e-04
-4.605921184236847239e+02,1.235802108643074934e-04
-4.603920784156831587e+02,1.237160640644908332e-04
-4.601920384076815367e+02,1.238521057207083982e-04
-4.599919983996799147e+02,1.239883361576903402e-04
-4.597919583916783495e+02,1.241247557008505356e-04
-4.595919183836767274e+02,1.242613646762886462e-04
-4.593918783756751054e+02,1.243981634107915008e-04
-4.591918383676735402e+02,1.245351522318350202e-04
-4.589917983596719182e+02,1.246723314675859788e-04
-4.587917583516703530e+02,1.248097014469035765e-04
-4.585917183436687310e+02,1.249472624993413908e-04
-4.583916783356671090e+02,1.250850149551489484e-04
-4.581916383276655438e+02,1.252229591452735144e-04
-4.579915983196639218e+02,1.253610954013620435e-04
-4.577915583116623566e+02,1.254994240557626443e-04
-4.575915183036607345e+02,1.256379454415266659e-04
-4.573914782956591125e+02,1.257766598924101888e-04
-4.571914382876575473e+02,1.259155677428759222e-04
-4.569913982796559253e+02,1.260546693280951557e-04
-4.567913582716543033e+02,1.261939649839492771e-04
-4.565913182636527381e+02,1.263334550470317241e-04
-4.563912782556511161e+02,1.264731398546497729e-04
-4.561912382476495509e+02,1.266130197448263003e-04
-4.559911982396479289e+02,1.267530950563017624e-04
-4.557911582316463068e+02,1.268933661285357394e-04
-4.555911182236447416e+02,1.270338333017088331e-04
-4.553910782156431196e+02,1.271744969167249166e-04
-4.551910382076415544e+02,1.273153573152122455e-04
-4.549909981996399324e+02,1.274564148395258703e-04
-4.547909581916383104e+02,1.275976698327493171e-04
-4.545909181836367452e+02,1.277391226386962407e-04
-4.543908781756351232e+02,1.278807736019127016e-04
-4.541908381676335011e+02,1.280226230676785755e-04
-4.539907981596319360e+02,1.281646713820097216e-04
-4.537907581516303139e+02,1.283069188916597986e-04
-4.535907181436287487e+02,1.284493659441219996e-04
-4.533906781356271267e+02,1.285920128876311933e-04
-4.531906381276255047e+02,1.287348600711656044e-04
-4.529905981196239395e+02,1.288779078444487114e-04
-4.527905581116223175e+02,1.290211565579513328e-04
-4.525905181036207523e+02,1.291646065628933629e-04
-4.523904780956191303e+02,1.293082582112458040e-04
-4.521904380876175082e+02,1.294521118557324739e-04
-4.519903980796159431e+02,1.295961678498322022e-04
-4.517903580716143210e+02,1.297404265477806724e-04
-4.515903180636126990e+02,1.298848883045722389e-04
-4.513902780556111338e+02,1.300295534759619322e-04
-4.511902380476095118e+02,1.301744224184675730e-04
-4.509901980396078898e+02,1.303194954893714804e-04
-4.507901580316063246e+02,1.304647730467225044e-04
-4.505901180236047026e+02,1.306102554493381398e-04
-4.503900780156031374e+02,1.307559430568062345e-04
-4.501900380076015153e+02,1.309018362294873201e-04
-4.499899979995999502e+02,1.310479353285161840e-04
-4.497899579915983281e+02,1.311942407158042006e-04
-4.495899179835967061e+02,1.313407527540411200e-04
-4.493898779755951409e+02,1.314874718066971011e-04
-4.491898379675935189e+02,1.316343982380249072e-04
-4.489897979595918969e+02,1.317815324130616403e-04
-4.487897579515903317e+02,1.319288746976309099e-04
-4.485897179435887097e+02,1.320764254583448928e-04
-4.483896779355870876e+02,1.322241850626062576e-04
-4.481896379275855224e+02,1.323721538786103060e-04
-4.479895979195839004e+02,1.325203322753468703e-04
-4.477895579115823352e+02,1.326687206226025628e-04
-4.475895179035807132e+02,1.328173192909627004e-04
-4.473894778955790912e+02,1.329661286518133648e-04
-4.471894378875775260e+02,1.331151490773434894e-04
-4.469893978795759040e+02,1.332643809405470003e-04
-4.467893578715743388e+02,1.334138246152247686e-04
-4.465893178635727168e+02,1.335634804759869407e-04
-4.463892778555710947e+02,1.337133488982545650e-04
-4.461892378475695295e+02,1.338634302582622211e-04
-4.459891978395679075e+02,1.340137249330598899e-04
-4.457891578315662855e+02,1.341642333005149592e-04
-4.455891178235647203e+02,1.343149557393144198e-04
-4.453890778155630983e+02,1.344658926289672230e-04
-4.451890378075615331e+02,1.346170443498060157e-04
-4.449889977995599111e+02,1.347684112829896069e-04
-4.447889577915582890e+02,1.349199938105048919e-04
-4.445889177835567239e+02,1.350717923151690484e-04
-4.443888777755551018e+02,1.352238071806319752e-04
-4.441888377675535367e+02,1.353760387913778649e-04
-4.439887977595519146e+02,1.355284875327281038e-04
-4.437887577515502926e+02,1.356811537908427087e-04
-4.435887177435487274e+02,1.358340379527231455e-04
-4.433886777355471054e+02,1.359871404062141457e-04
-4.431886377275454834e+02,1.361404615400060099e-04
-4.429885977195439182e+02,1.362940017436367493e-04
-4.427885577115422961e+02,1.364477614074944981e-04
-4.425885177035407310e+02,1.366017409228193836e-04
-4.423884776955391089e+02,1.367559406817062367e-04
-4.421884376875374869e+02,1.369103610771062456e-04
-4.419883976795359217e+02,1.370650025028296388e-04
-4.417883576715342997e+02,1.372198653535477997e-04
-4.415883176635327345e+02,1.373749500247953531e-04
-4.413882776555311125e+02,1.375302569129727679e-04
-4.411882376475294905e+02,1.376857864153482273e-04
-4.409881976395279253e+02,1.378415389300601760e-04
-4.407881576315263032e+02,1.379975148561195437e-04
-4.405881176235246812e+02,1.381537145934119400e-04
-4.403880776155231160e+02,1.383101385427000128e-04
-4.401880376075214940e+02,1.384667871056258063e-04
-4.399879975995198720e+02,1.386236606847129297e-04
-4.397879575915183068e+02,1.387807596833689420e-04
-4.395879175835166848e+02,1.389380845058877647e-04
-4.393878775755151196e+02,1.390956355574518230e-04
-4.391878375675134976e+02,1.392534132441345393e-04
-4.389877975595119324e+02,1.394114179729025291e-04
-4.387877575515103103e+02,1.395696501516181754e-04
-4.385877175435086883e+02,1.397281101890416623e-04
-4.383876775355071231e+02,1.398867984948336848e-04
-4.381876375275055011e+02,1.400457154795575635e-04
-4.379875975195038791e+02,1.402048615546817379e-04
-4.377875575115023139e+02,1.403642371325820436e-04
-4.375875175035006919e+02,1.405238426265443955e-04
-4.373874774954990698e+02,1.406836784507667392e-04
-4.371874374874975047e+02,1.408437450203618431e-04
-4.369873974794958826e+02,1.410040427513596021e-04
-4.367873574714943175e+02,1.411645720607092606e-04
-4.365873174634926954e+02,1.413253333662821496e-04
-4.363872774554910734e+02,1.414863270868739367e-04
-4.361872374474895082e+02,1.416475536422070927e-04
-4.359871974394878862e+02,1.418090134529334664e-04
-4.357871574314863210e+02,1.419707069406364532e-04
-4.355871174234846990e+02,1.421326345278338681e-04
-4.353870774154830769e+02,1.422947966379800599e-04
