# Frequency, Signal
-5.000000000000000000e+02,6.963996854125372447e-05
-4.997999599919983780e+02,6.976580935296207149e-05
-4.995999199839968128e+02,6.989193951223688728e-05
-4.993998799759951908e+02,7.001835982881289739e-05
-4.991998399679936256e+02,7.014507111509550195e-05
-4.989997999599920036e+02,7.027207418617150922e-05
-4.987997599519903815e+02,7.039936985981886633e-05
-4.985997199439888163e+02,7.052695895651714896e-05
-4.983996799359871943e+02,7.065484229945775279e-05
-4.981996399279855723e+02,7.078302071455413926e-05
-4.979995999199840071e+02,7.091149503045216255e-05
-4.977995599119823851e+02,7.104026607854074902e-05
-4.975995199039808199e+02,7.116933469296191246e-05
-4.973994798959791979e+02,7.129870171062158265e-05
-4.971994398879775758e+02,7.142836797119987810e-05
-4.969993998799760107e+02,7.155833431716198875e-05
-4.967993598719743886e+02,7.168860159376844881e-05
-4.965993198639727666e+02,7.181917064908606007e-05
-4.963992798559712014e+02,7.195004233399844931e-05
-4.961992398479695794e+02,7.208121750221695102e-05
-4.959991998399680142e+02,7.221269701029136808e-05
-4.957991598319663922e+02,7.234448171762077311e-05
-4.955991198239647701e+02,7.247657248646441829e-05
-4.953990798159632050e+02,7.260897018195268577e-05
-4.951990398079615829e+02,7.274167567209825498e-05
-4.949989997999600178e+02,7.287468982780678198e-05
-4.947989597919583957e+02,7.300801352288840561e-05
-4.945989197839567737e+02,7.314164763406842684e-05
-4.943988797759552085e+02,7.327559304099888265e-05
-4.941988397679535865e+02,7.340985062626969974e-05
-4.939987997599519645e+02,7.354442127541971277e-05
-4.937987597519503993e+02,7.367930587694821105e-05
-4.935987197439487772e+02,7.381450532232655313e-05
-4.933986797359472121e+02,7.395002050600902232e-05
-4.931986397279455900e+02,7.408585232544476651e-05
-4.929985997199439680e+02,7.422200168108915514e-05
-4.927985597119424028e+02,7.435846947641523111e-05
-4.925985197039407808e+02,7.449525661792577255e-05
-4.923984796959392156e+02,7.463236401516441939e-05
-4.921984396879375936e+02,7.476979258072778938e-05
-4.919983996799359716e+02,7.490754323027701126e-05
-4.917983596719344064e+02,7.504561688254982716e-05
-4.915983196639327844e+02,7.518401445937223423e-05
-4.913982796559311623e+02,7.532273688567047863e-05
-4.911982396479295971e+02,7.546178508948307663e-05
-4.909981996399279751e+02,7.560116000197288988e-05
-4.907981596319264099e+02,7.574086255743910589e-05
-4.905981196239247879e+02,7.588089369332951656e-05
-4.903980796159231659e+02,7.602125435025251224e-05
-4.901980396079216007e+02,7.616194547198959063e-05
-4.899979995999199787e+02,7.630296800550754059e-05
-4.897979595919183566e+02,7.644432290097055802e-05
-4.895979195839167915e+02,7.658601111175303950e-05
-4.893978795759151694e+02,7.672803359445205058e-05
-4.891978395679136042e+02,7.687039130889933335e-05
-4.889977995599119822e+02,7.701308521817457433e-05
-4.887977595519103602e+02,7.715611628861743915e-05
-4.885977195439087950e+02,7.729948548984048808e-05
-4.883976795359071730e+02,7.744319379474222712e-05
-4.881976395279056078e+02,7.758724217951931885e-05
-4.879975995199039858e+02,7.773163162367986386e-05
-4.877975595119023637e+02,7.787636311005609953e-05
-4.875975195039007986e+02,7.802143762481743750e-05
-4.873974794958991765e+02,7.816685615748358254e-05
-4.871974394878975545e+02,7.831261970093740749e-05
-4.869973994798959893e+02,7.845872925143813979e-05
-4.867973594718943673e+02,7.860518580863487341e-05
-4.865973194638928021e+02,7.875199037557924046e-05
-4.863972794558911801e+02,7.889914395873923474e-05
-4.861972394478895581e+02,7.904664756801223571e-05
-4.859971994398879929e+02,7.919450221673877792e-05
-4.857971594318863708e+02,7.934270892171566979e-05
-4.855971194238848057e+02,7.949126870320981722e-05
-4.853970794158831836e+02,7.964018258497170834e-05
-4.851970394078815616e+02,7.978945159424900672e-05
-4.849969993998799964e+02,7.993907676180053755e-05
-4.847969593918783744e+02,8.008905912190982662e-05
-4.845969193838767524e+02,8.023939971239896457e-05
-4.843968793758751872e+02,8.039009957464260663e-05
-4.841968393678735652e+02,8.054115975358208082e-05
-4.839967993598720000e+02,8.069258129773902179e-05
-4.837967593518703779e+02,8.084436525922992622e-05
-4.835967193438687559e+02,8.099651269377992218e-05
-4.833966793358671907e+02,8.114902466073716197e-05
-4.831966393278655687e+02,8.130190222308726904e-05
-4.829965993198639467e+02,8.145514644746733779e-05
-4.827965593118623815e+02,8.160875840418048898e-05
-4.825965193038607595e+02,8.176273916721069621e-05
-4.823964792958591943e+02,8.191708981423658235e-05
-4.821964392878575723e+02,8.207181142664673394e-05
-4.819963992798559502e+02,8.222690508955399907e-05
-4.817963592718543850e+02,8.238237189181023257e-05
-4.815963192638527630e+02,8.253821292602132572e-05
-4.813962792558511410e+02,8.269442928856180234e-05
-4.811962392478495758e+02,8.285102207958982147e-05
-4.809961992398479538e+02,8.300799240306230191e-05
-4.807961592318463886e+02,8.316534136674988431e-05
-4.805961192238447666e+02,8.332307008225206925e-05
-4.803960792158431445e+02,8.348117966501245036e-05
-4.801960392078415794e+02,8.363967123433385241e-05
-4.799959991998399573e+02,8.379854591339393037e-05
-4.797959591918383921e+02,8.395780482926026682e-05
-4.795959191838367701e+02,8.411744911290617427e-05
-4.793958791758351481e+02,8.427747989922584686e-05
-4.791958391678335829e+02,8.443789832705029814e-05
-4.789957991598319609e+02,8.459870553916304132e-05
-4.787957591518303389e+02,8.475990268231545785e-05
-4.785957191438287737e+02,8.492149090724306049e-05
-4.783956791358271516e+02,8.508347136868130904e-05
-4.781956391278255865e+02,8.524584522538122290e-05
-4.779955991198239644e+02,8.540861364012602357e-05
-4.777955591118223424e+02,8.557177777974653027e-05
-4.775955191038207772e+02,8.573533881513788386e-05
-4.773954790958191552e+02,8.589929792127582332e-05
-4.771954390878175900e+02,8.606365627723243383e-05
-4.769953990798159680e+02,8.622841506619322298e-05
-4.767953590718143460e+02,8.639357547547316693e-05
-4.765953190638127808e+02,8.655913869653340711e-05
-4.763952790558111587e+02,8.672510592499797408e-05
-4.761952390478095367e+02,8.689147836067021317e-05
-4.759951990398079715e+02,8.705825720754973868e-05
-4.757951590318063495e+02,8.722544367384945589e-05
-4.755951190238047843e+02,8.739303897201205443e-05
-4.753950790158031623e+02,8.756104431872735558e-05
-4.751950390078015403e+02,8.772946093494927999e-05
-4.749949989997999751e+02,8.789829004591297808e-05
-4.747949589917983531e+02,8.806753288115217728e-05
-4.745949189837967879e+02,8.823719067451624468e-05
-4.743948789757951658e+02,8.840726466418794081e-05
-4.741948389677935438e+02,8.857775609270055004e-05
-4.739947989597919786e+02,8.874866620695555310e-05
-4.737947589517903566e+02,8.891999625824039441e-05
-4.735947189437887346e+02,8.909174750224591066e-05
-4.733946789357871694e+02,8.926392119908436919e-05
-4.731946389277855474e+02,8.943651861330726251e-05
-4.729945989197839822e+02,8.960954101392304850e-05
-4.727945589117823602e+02,8.978298967441564963e-05
-4.725945189037807381e+02,8.995686587276203062e-05
-4.723944788957791729e+02,9.013117089145067048e-05
-4.721944388877775509e+02,9.030590601750008886e-05
-4.719943988797759289e+02,9.048107254247657273e-05
-4.717943588717743637e+02,9.065667176251305506e-05
-4.715943188637727417e+02,9.083270497832787152e-05
-4.713942788557711765e+02,9.100917349524264980e-05
-4.711942388477695545e+02,9.118607862320174395e-05
-4.709941988397679324e+02,9.136342167679054385e-05
-4.707941588317663673e+02,9.154120397525451649e-05
-4.705941188237647452e+02,9.171942684251830149e-05
-4.703940788157631232e+02,9.189809160720441360e-05
-4.701940388077615580e+02,9.207719960265251435e-05
-4.699939987997599360e+02,9.225675216693903619e-05
-4.697939587917583708e+02,9.243675064289572226e-05
-4.695939187837567488e+02,9.261719637812964353e-05
-4.693938787757551268e+02,9.279809072504241626e-05
-4.691938387677535616e+02,9.297943504084971763e-05
-4.689937987597519395e+02,9.316123068760127576e-05
-4.687937587517503744e+02,9.334347903220015490e-05
-4.685937187437487523e+02,9.352618144642303006e-05
-4.683936787357471303e+02,9.370933930693970261e-05
-4.681936387277455651e+02,9.389295399533359172e-05
-4.679935987197439431e+02,9.407702689812152106e-05
-4.677935587117423211e+02,9.426155940677387139e-05
-4.675935187037407559e+02,9.444655291773513975e-05
-4.673934786957391339e+02,9.463200883244437666e-05
-4.671934386877375687e+02,9.481792855735516256e-05
-4.669933986797359466e+02,9.500431350395695306e-05
-4.667933586717343246e+02,9.519116508879504174e-05
-4.665933186637327594e+02,9.537848473349168864e-05
-4.663932786557311374e+02,9.556627386476720790e-05
-4.661932386477295722e+02,9.575453391446026952e-05
-4.659931986397279502e+02,9.594326631954966465e-05
-4.657931586317263282e+02,9.613247252217514943e-05
-4.655931186237247630e+02,9.632215396965850560e-05
-4.653930786157231410e+02,9.651231211452536006e-05
-4.651930386077215189e+02,9.670294841452627263e-05
-4.649929985997199537e+02,9.689406433265833872e-05
-4.647929585917183317e+02,9.708566133718709028e-05
-4.645929185837167665e+02,9.727774090166794942e-05
-4.643928785757151445e+02,9.747030450496822415e-05
-4.641928385677135225e+02,9.766335363128914482e-05
-4.639927985597119573e+02,9.785688977018764301e-05
-4.637927585517103353e+02,9.805091441659886226e-05
-4.635927185437087701e+02,9.824542907085818098e-05
-4.633926785357071481e+02,9.844043523872376381e-05
-4.631926385277055260e+02,9.863593443139869290e-05
-4.629925985197039608e+02,9.883192816555395302e-05
-4.627925585117023388e+02,9.902841796335102361e-05
-4.625925185037007168e+02,9.922540535246432176e-05
-4.623924784956991516e+02,9.942289186610447189e-05
-4.621924384876975296e+02,9.962087904304131798e-05
-4.619923984796959076e+02,9.981936842762667822e-05
-4.617923584716943424e+02,1.000183615698178180e-04
-4.615923184636927203e+02,1.002178600252009229e-04
