# Frequency, Signal
-5.000000000000000000e+02,3.576760195170799371e-05
-4.997999599919983780e+02,3.584368611056806115e-05
-4.995999199839968128e+02,3.591998255797489609e-05
-4.993998799759951908e+02,3.599649203487096896e-05
-4.991998399679936256e+02,3.607321528532355634e-05
-4.989997999599920036e+02,3.615015305654043485e-05
-4.987997599519903815e+02,3.622730609888537165e-05
-4.985997199439888163e+02,3.630467516589377762e-05
-4.983996799359871943e+02,3.638226101428870612e-05
-4.981996399279855723e+02,3.646006440399646549e-05
-4.979995999199840071e+02,3.653808609816267206e-05
-4.977995599119823851e+02,3.661632686316839791e-05
-4.975995199039808199e+02,3.669478746864616292e-05
-4.973994798959791979e+02,3.677346868749628589e-05
-4.971994398879775758e+02,3.685237129590311362e-05
-4.969993998799760107e+02,3.693149607335156188e-05
-4.967993598719743886e+02,3.701084380264355451e-05
-4.965993198639727666e+02,3.709041526991463893e-05
-4.963992798559712014e+02,3.717021126465073019e-05
-4.961992398479695794e+02,3.725023257970490261e-05
-4.959991998399680142e+02,3.733048001131428976e-05
-4.957991598319663922e+02,3.741095435911712000e-05
-4.955991198239647701e+02,3.749165642616975877e-05
-4.953990798159632050e+02,3.757258701896392706e-05
-4.951990398079615829e+02,3.765374694744408937e-05
-4.949989997999600178e+02,3.773513702502463143e-05
-4.947989597919583957e+02,3.781675806860768866e-05
-4.945989197839567737e+02,3.789861089860044590e-05
-4.943988797759552085e+02,3.798069633893293867e-05
-4.941988397679535865e+02,3.806301521707601706e-05
-4.939987997599519645e+02,3.814556836405905209e-05
-4.937987597519503993e+02,3.822835661448796058e-05
-4.935987197439487772e+02,3.831138080656354173e-05
-4.933986797359472121e+02,3.839464178209943418e-05
-4.931986397279455900e+02,3.847814038654065591e-05
-4.929985997199439680e+02,3.856187746898192723e-05
-4.927985597119424028e+02,3.864585388218621744e-05
-4.925985197039407808e+02,3.873007048260353538e-05
-4.923984796959392156e+02,3.881452813038955061e-05
-4.921984396879375936e+02,3.889922768942452629e-05
-4.919983996799359716e+02,3.898417002733230630e-05
-4.917983596719344064e+02,3.906935601549943780e-05
-4.915983196639327844e+02,3.915478652909436166e-05
-4.913982796559311623e+02,3.924046244708670445e-05
-4.911982396479295971e+02,3.932638465226680088e-05
-4.909981996399279751e+02,3.941255403126516876e-05
-4.907981596319264099e+02,3.949897147457222794e-05
-4.905981196239247879e+02,3.958563787655809376e-05
-4.903980796159231659e+02,3.967255413549239086e-05
-4.901980396079216007e+02,3.975972115356438548e-05
-4.899979995999199787e+02,3.984713983690310412e-05
-4.897979595919183566e+02,3.993481109559751332e-05
-4.895979195839167915e+02,4.002273584371697040e-05
-4.893978795759151694e+02,4.011091499933174199e-05
-4.891978395679136042e+02,4.019934948453348186e-05
-4.889977995599119822e+02,4.028804022545628483e-05
-4.887977595519103602e+02,4.037698815229714429e-05
-4.885977195439087950e+02,4.046619419933720254e-05
-4.883976795359071730e+02,4.055565930496291308e-05
-4.881976395279056078e+02,4.064538441168709447e-05
-4.879975995199039858e+02,4.073537046617042460e-05
-4.877975595119023637e+02,4.082561841924290796e-05
-4.875975195039007986e+02,4.091612922592545117e-05
-4.873974794958991765e+02,4.100690384545177075e-05
-4.871974394878975545e+02,4.109794324129006351e-05
-4.869973994798959893e+02,4.118924838116515144e-05
-4.867973594718943673e+02,4.128082023708070107e-05
-4.865973194638928021e+02,4.137265978534130728e-05
-4.863972794558911801e+02,4.146476800657509219e-05
-4.861972394478895581e+02,4.155714588575610744e-05
-4.859971994398879929e+02,4.164979441222717700e-05
-4.857971594318863708e+02,4.174271457972255700e-05
-4.855971194238848057e+02,4.183590738639097502e-05
-4.853970794158831836e+02,4.192937383481883877e-05
-4.851970394078815616e+02,4.202311493205322120e-05
-4.849969993998799964e+02,4.211713168962542158e-05
-4.847969593918783744e+02,4.221142512357449266e-05
-4.845969193838767524e+02,4.230599625447076110e-05
-4.843968793758751872e+02,4.240084610743978831e-05
-4.841968393678735652e+02,4.249597571218627037e-05
-4.839967993598720000e+02,4.259138610301797177e-05
-4.837967593518703779e+02,4.268707831887035036e-05
-4.835967193438687559e+02,4.278305340333049111e-05
-4.833966793358671907e+02,4.287931240466186656e-05
-4.831966393278655687e+02,4.297585637582919220e-05
-4.829965993198639467e+02,4.307268637452288195e-05
-4.827965593118623815e+02,4.316980346318429656e-05
-4.825965193038607595e+02,4.326720870903087674e-05
-4.823964792958591943e+02,4.336490318408126282e-05
-4.821964392878575723e+02,4.346288796518099704e-05
-4.819963992798559502e+02,4.356116413402787364e-05
-4.817963592718543850e+02,4.365973277719779698e-05
-4.815963192638527630e+02,4.375859498617084995e-05
-4.813962792558511410e+02,4.385775185735711141e-05
-4.811962392478495758e+02,4.395720449212299561e-05
-4.809961992398479538e+02,4.405695399681779480e-05
-4.807961592318463886e+02,4.415700148279995754e-05
-4.805961192238447666e+02,4.425734806646411249e-05
-4.803960792158431445e+02,4.435799486926767199e-05
-4.801960392078415794e+02,4.445894301775809974e-05
-4.799959991998399573e+02,4.456019364360003622e-05
-4.797959591918383921e+02,4.466174788360266121e-05
-4.795959191838367701e+02,4.476360687974737483e-05
-4.793958791758351481e+02,4.486577177921535661e-05
-4.791958391678335829e+02,4.496824373441555146e-05
-4.789957991598319609e+02,4.507102390301277083e-05
-4.787957591518303389e+02,4.517411344795588875e-05
-4.785957191438287737e+02,4.527751353750623437e-05
-4.783956791358271516e+02,4.538122534526632332e-05
-4.781956391278255865e+02,4.548525005020835187e-05
-4.779955991198239644e+02,4.558958883670361954e-05
-4.777955591118223424e+02,4.569424289455109096e-05
-4.775955191038207772e+02,4.579921341900710985e-05
-4.773954790958191552e+02,4.590450161081484186e-05
-4.771954390878175900e+02,4.601010867623376487e-05
-4.769953990798159680e+02,4.611603582706979627e-05
-4.767953590718143460e+02,4.622228428070511528e-05
