# Frequency, Signal
-5.000000000000000000e+02,1.133068665009294012e-04
-4.997999599919983780e+02,1.134825977070883543e-04
-4.995999199839968128e+02,1.136586640412798235e-04
-4.993998799759951908e+02,1.138350662533655158e-04
-4.991998399679936256e+02,1.140118050951048986e-04
-4.989997999599920036e+02,1.141888813201609053e-04
-4.987997599519903815e+02,1.143662956841049361e-04
-4.985997199439888163e+02,1.145440489444221437e-04
-4.983996799359871943e+02,1.147221418605171115e-04
-4.981996399279855723e+02,1.149005751937186379e-04
-4.979995999199840071e+02,1.150793497072853471e-04
-4.977995599119823851e+02,1.152584661664112316e-04
-4.975995199039808199e+02,1.154379253382305047e-04
-4.973994798959791979e+02,1.156177279918235902e-04
-4.971994398879775758e+02,1.157978748982219200e-04
-4.969993998799760107e+02,1.159783668304138976e-04
-4.967993598719743886e+02,1.161592045633499666e-04
-4.965993198639727666e+02,1.163403888739480719e-04
-4.963992798559712014e+02,1.165219205410993525e-04
-4.961992398479695794e+02,1.167038003456734400e-04
-4.959991998399680142e+02,1.168860290705239069e-04
-4.957991598319663922e+02,1.170686075004939995e-04
-4.955991198239647701e+02,1.172515364224219637e-04
-4.953990798159632050e+02,1.174348166251465474e-04
-4.951990398079615829e+02,1.176184488995127742e-04
-4.949989997999600178e+02,1.178024340383773504e-04
-4.947989597919583957e+02,1.179867728366143845e-04
-4.945989197839567737e+02,1.181714660911208488e-04
-4.943988797759552085e+02,1.183565146008221222e-04
-4.941988397679535865e+02,1.185419191666781298e-04
-4.939987997599519645e+02,1.187276805916883163e-04
-4.937987597519503993e+02,1.189137996808977180e-04
-4.935987197439487772e+02,1.191002772414027900e-04
-4.933986797359472121e+02,1.192871140823565561e-04
-4.931986397279455900e+02,1.194743110149749791e-04
-4.929985997199439680e+02,1.196618688525422997e-04
-4.927985597119424028e+02,1.198497884104167427e-04
-4.925985197039407808e+02,1.200380705060366830e-04
-4.923984796959392156e+02,1.202267159589260671e-04
-4.921984396879375936e+02,1.204157255907003485e-04
-4.919983996799359716e+02,1.206051002250722209e-04
-4.917983596719344064e+02,1.207948406878577301e-04
-4.915983196639327844e+02,1.209849478069817495e-04
-4.913982796559311623e+02,1.211754224124842816e-04
-4.911982396479295971e+02,1.213662653365257983e-04
-4.909981996399279751e+02,1.215574774133937997e-04
-4.907981596319264099e+02,1.217490594795081677e-04
-4.905981196239247879e+02,1.219410123734275222e-04
-4.903980796159231659e+02,1.221333369358548586e-04
-4.901980396079216007e+02,1.223260340096437280e-04
-4.899979995999199787e+02,1.225191044398044038e-04
-4.897979595919183566e+02,1.227125490735092616e-04
