# HCl spectrum
# xmin= 2650 cm^-1
# xmax= 3100 cm^-1

Wavenumber, Absorbance
2650, 0.0244
2650.12, 0.0251
2650.25, 0.0252
2650.38, 0.0247
2650.5, 0.0239
2650.62, 0.0232
2650.75, 0.023
2650.88, 0.0233
2651, 0.0238
2651.12, 0.0242
2651.25, 0.0243
2651.38, 0.0239
2651.5, 0.0233
2651.62, 0.0236
2651.75, 0.0252
2651.88, 0.0276
2652, 0.0288
2652.12, 0.0278
2652.25, 0.0252
2652.38, 0.0229
2652.5, 0.0221
2652.62, 0.0225
2652.75, 0.023
2652.88, 0.0231
2653, 0.023
2653.12, 0.023
2653.25, 0.0235
2653.38, 0.024
2653.5, 0.024
2653.62, 0.0236
2653.75, 0.0231
2653.88, 0.0232
2654, 0.0239
2654.12, 0.0245
2654.25, 0.0245
2654.38, 0.0236
2654.5, 0.0228
2654.62, 0.0227
2654.75, 0.0236
2654.88, 0.0244
2655, 0.0242
2655.12, 0.0232
2655.25, 0.0225
2655.38, 0.0227
2655.5, 0.0233
2655.62, 0.0236
2655.75, 0.0235
2655.88, 0.0234
2656, 0.0236
2656.12, 0.0237
2656.25, 0.0236
2656.38, 0.0232
2656.5, 0.0231
2656.62, 0.0234
2656.75, 0.0242
2656.88, 0.0248
2657, 0.0247
2657.12, 0.0236
2657.25, 0.0223
2657.38, 0.0218
2657.5, 0.0223
2657.62, 0.0232
2657.75, 0.0234
2657.88, 0.0231
2658, 0.0227
2658.12, 0.0227
2658.25, 0.023
2658.38, 0.0231
2658.5, 0.0228
2658.62, 0.0225
2658.75, 0.0224
2658.88, 0.0223
2659, 0.0222
2659.12, 0.0219
2659.25, 0.0219
2659.38, 0.0222
2659.5, 0.0229
2659.62, 0.0235
2659.75, 0.0233
2659.88, 0.0223
2660, 0.0212
2660.12, 0.0211
2660.25, 0.0223
2660.38, 0.0235
2660.5, 0.0237
2660.62, 0.023
2660.75, 0.0226
2660.88, 0.0232
2661, 0.0241
2661.12, 0.0243
2661.25, 0.0238
2661.38, 0.0232
2661.5, 0.0232
2661.62, 0.0235
2661.75, 0.0234
2661.88, 0.0229
2662, 0.0223
2662.12, 0.0225
2662.25, 0.0236
2662.38, 0.0247
2662.5, 0.0245
2662.62, 0.0234
2662.75, 0.0224
2662.88, 0.0227
2663, 0.0236
2663.12, 0.0241
2663.25, 0.0239
2663.38, 0.0236
2663.5, 0.0236
2663.62, 0.0237
2663.75, 0.0235
2663.88, 0.0228
2664, 0.022
2664.12, 0.0216
2664.25, 0.0221
2664.38, 0.0229
2664.5, 0.0233
2664.62, 0.0231
2664.75, 0.0227
2664.88, 0.023
2665, 0.0237
2665.12, 0.0241
2665.25, 0.024
2665.38, 0.0234
2665.5, 0.0228
2665.62, 0.0223
2665.75, 0.0219
2665.88, 0.0216
2666, 0.0214
2666.12, 0.0216
2666.25, 0.0225
2666.38, 0.0238
2666.5, 0.0248
2666.62, 0.0247
2666.75, 0.0239
2666.88, 0.0231
2667, 0.0229
2667.12, 0.0229
2667.25, 0.0226
2667.38, 0.0222
2667.5, 0.0222
2667.62, 0.0228
2667.75, 0.0236
2667.88, 0.0238
2668, 0.0231
2668.12, 0.022
2668.25, 0.0216
2668.38, 0.0225
2668.5, 0.0239
2668.62, 0.0246
2668.75, 0.0241
2668.88, 0.0233
2669, 0.0233
2669.12, 0.024
2669.25, 0.0244
2669.38, 0.024
2669.5, 0.0233
2669.62, 0.0232
2669.75, 0.0237
2669.88, 0.0243
2670, 0.0244
2670.12, 0.024
2670.25, 0.0238
2670.38, 0.0241
2670.5, 0.0247
2670.62, 0.0248
2670.75, 0.024
2670.88, 0.0229
2671, 0.0223
2671.12, 0.0226
2671.25, 0.0231
2671.38, 0.0233
2671.5, 0.0229
2671.62, 0.0226
2671.75, 0.0229
2671.88, 0.0238
2672, 0.0243
2672.12, 0.0239
2672.25, 0.0229
2672.38, 0.0224
2672.5, 0.0227
2672.62, 0.0233
